name,state,sector,ecosystem,sub_ecosystem,ceo_name,website,email,phone,facebook,instagram,linkedin,twitter,address
NHub,Jos,Incubators & Accelerators,Business support,Others,Daser David,http://nhubnigeria.com,info@nhubnigeria.com,(+234) 806-889-7177,https://web.facebook.com/nHubNigeria/?_rdc=1&_rdr,https://www.instagram.com/nhub_ng/?hl=en,https://www.linkedin.com/company/nhub/?originalSubdomain=ng,https://twitter.com/nhubng?lang=en,"3rd Floor, TAEN Business Complex, Opposite former NITEL Office"
OlotuSquare,Rivers,Incubators & Accelerators,Business support,Others,Bruce Lucas,https://olotusquare.co,hello@olotusquare.co,+234 (0) 9067719044,https://web.facebook.com/olotusquare?_rdc=1&_rdr,https://www.instagram.com/olotusquare/,https://www.linkedin.com/company/olotusquare/,https://twitter.com/olotusquare,"1, Khana Street, D/Line"
Passion Incubator,Lagos,Incubators & Accelerators,Business support,Others,Olufunbi Falayi,http://www.passionincubator.ng/,nfo@passionincubator.ng,23433579178,https://web.facebook.com/passionincubator/?_rdc=1&_rdr,https://www.instagram.com/p_incubator/?hl=en,https://www.linkedin.com/company/passion-incubator/?originalSubdomain=ng,https://twitter.com/p_incubator?lang=en,"70 , Olonode Street"
ROAR Nigeria Hub,Enugu,Incubators & Accelerators,Business support,Others,Charles Emembolu,http://www.roarnigeria.org/,info@roarnigeria.org,0809 941 3182,https://web.facebook.com/roarnigeria/?_rdc=1&_rdr,https://www.instagram.com/roar_nigeria/,https://www.linkedin.com/in/roar-nigeria-hub-047098142/,https://twitter.com/roar_nigeria,"Beside CEC, directly behind Faculty of Art Theater Building, University of Nigeria Nsukka"
Root Hub,Akwa Ibom,Incubators & Accelerators,Business support,Others,Tony Onuk,http://theroothub.com/,info@theroothub.com,0809 242 7901,https://web.facebook.com/theroothub/?_rdc=1&_rdr,https://www.instagram.com/theroothub/,,https://twitter.com/theroothub/,"Akees Plaza, Opp Ibom Hall"
SPARK,Lagos,Incubators & Accelerators,Business support,Others,Chinedu Amah,http://www.thesparkng.com/,contribute@thesparkng.com,,https://web.facebook.com/thesparkng/?_rdc=1&_rdr,https://www.instagram.com/thesparkng/?hl=en,,https://twitter.com/thesparkng?lang=en,"21, Military Street, Off King George V Street"
Start Innovation Hub,Akwa Ibom,Incubators & Accelerators,Business support,Others,Hanson Johnson,http://www.starthub.com.ng/,email@starthub.com.ng,0909 000 9216,https://web.facebook.com/starthubtech/?_rdc=1&_rdr,https://www.instagram.com/starthubtech/?hl=en,https://www.linkedin.com/showcase/start-innovation-hub/,,"264, Oron road"
StartPreneurs,Abuja,Incubators & Accelerators,Business support,Others,Jennifer Chizua,http://www.startpreneurs.com.ng/,info@startpreneurs.com.ng,+234 814 042 4240,https://web.facebook.com/startpreneurs/?_rdc=1&_rdr,https://www.instagram.com/startpreneurs/,,https://twitter.com/startpreneurs?lang=en,"50, Ebitu Ukiwe Street"
StoneBricks Hub,Abuja,Incubators & Accelerators,Business support,Others,Omotola Agbi,http://www.stonebrickshub.com/,info@stonebricksgroup.com,0909 320 9133,https://web.facebook.com/StoneBricksHub/?_rdc=1&_rdr,https://www.instagram.com/stonebricks_hub/,,https://twitter.com/Stonebricks_hub,"10, Danube Close, Off Danube Street, Off IBB Boulevard,"
Technology Development for Poverty Alleviation Initiative (TD4PAI),Abuja,Incubators & Accelerators,Business support,Others,,http://www.td4pai.org,td4pai@gmail.com, (+234) 8038198759,https://web.facebook.com/td4pai?_rdc=1&_rdr,,,https://twitter.com/td4pai,"32, Pasali New Extension, Off Lanto Road"
Technology Incubation Center,Lagos,Incubators & Accelerators,Business support,Others,Rosaline G. Agiamoh,,,,,,,,
The Tangent Eco- Innovation Hub,Abuja,Incubators & Accelerators,Business support,Others,Dami Lawal,http://www.tangenthub.ng/,info@tangenthub.com.ng,0809 456 2884,https://web.facebook.com/TangentHubNG/?_rdc=1&_rdr,https://www.instagram.com/TangentHubNG/?fbclid=IwAR1Dnr6I86z9BJ9YLSY5KMDAz1gl6wGl7OTDBLPV7807d_Bg7VCSx08E2UI,,https://twitter.com/Tangent_Hub?fbclid=IwAR1T6l__smSFfCZ2fpshNWd9PuQc2vnievU6OqAET8wR-Vi9i_x2C84ifDQ,
We Hub,Lagos,Incubators & Accelerators,Business support,Others,,,,,,,,,
Wennovation Hub,Oyo,Incubators & Accelerators,Business support,Others,Wole Odetayo,http://www.wennovationhub.org/,enquiries@wennovationhub.org,0909 000 2648,https://web.facebook.com/wennovationhub?_rdc=1&_rdr,,,https://twitter.com/wennovation,"3rd Floor Alpha and Omega Building, Queen Elizabeth II Road, Mokola"
Nigerian Association of Small and Medium Enterprises (NASME),Lagos,Trade Groups/Associations,Business support,Others,Prince Degun Agboade,https://nasmeonline.com,nasmenigeria2@gmail.com,7038711178,https://web.facebook.com/nasmengr/?_rdc=1&_rdr,,,https://twitter.com/nasmeng," 23A, Fatai Atere Way, Matori, Industrial Estate"
NECA’s Network of Entrepreneurial Women (NNEW),Lagos,Trade Groups/Associations,Business support,Others,Funmilayo Arowoogun,https://www.nnew.org,"info@nnew.org ,",234 909 000 0189,https://www.facebook.com/NNEWabuja/,https://www.instagram.com/nnewabuja/?hl=en,https://www.linkedin.com/in/nnewomen/?originalSubdomain=ng,https://twitter.com/Neca_NNEW,"Plot A2 , NECA House, Hakeem Balogun Street"
Lagos State Chambers of Commerce & Industry,Lagos,Trade Groups/Associations,Business support,Others,Muda Yusuf,https://www.lagoschamber.com,lcci@lagoschamber.com,(+234)1-277-1557,https://www.facebook.com/lagoschamber/,https://www.instagram.com/lagoschamber88/,,https://twitter.com/lagoschamber88,"No 1, Idowu Taylor Street"
"Federal Institute of Industrial Research, Oshodi (FIIRO)",Lagos,Government,Research and Development,Research Organizations/Centers,MRS AGNES YEMISI ASAGBRA,https://www.fiiro.gov.ng/,info@fiiro.gov.ng,8023415016,https://www.facebook.com/fiiro_official-106121917949125?_rdc=1&_rdr,https://www.instagram.com/fiiro_official/,https://www.linkedin.com/company/federal-institute-of-industrial-research-oshodi?originalSubdomain=ng,https://twitter.com/FiiroOfficial,"3, FIIRO Road, Near Cappa Bus Stop, Off Agege Motor Road"
National Bureau of Statistics (NBS),Abuja,Government,Research and Development,Research Organizations/Centers,Dr. Yemi Kale,www.nigerianstat.gov.ng,feedback@nigerianstat.gov.ng,234 8037 051701,https://www.facebook.com/NBSNigeria,,,https://twitter.com/nigerianstat,"Plot 762, Independence Avenue"
"Doing Business Unit, World Bank",Lagos,Government,Research and Development,Research Organizations/Centers,,https://www.doingbusiness.org,,,https://www.facebook.com/DoingBusiness.org/,,,https://twitter.com/WB_Research,
Small and Medium Enterprise Development Agency of Nigeria (SMEDAN),Abuja,Government,Research and Development,Others,Dr. Dikko Umaru Radda,https://smedan.gov.ng, info@smedan.gov.ng,0807 132 0380,https://www.facebook.com/smedaninfo,,,https://twitter.com/smedaninfo,"No 35, Port Harcourt Crescent , Off Gimbiya Street"
"Centre for Entrepreneurship and Innovation (CEI), University of Ibadan",Oyo,Academia,Research and Development,Research Organizations/Centers,Professor Oyedunni Arulogun,https://cei.ui.edu.ng, uientrep@gmail.com,+234 - 802 335 1506,,,,,"15,, Awolowo Avenue"
Institute of Entrepreneurship and Development Studies,Lagos,Academia,Research and Development,Others,,https://ifeds.oauife.edu.ng,,,,,,,
"Enterprise Development Center, (EDC) Pan Atlantic University",Lagos,Academia,Research and Development,Others,Mr. Peter Bamkole,https://www.pau.edu.ng/units/edc/,info@pau.edu.ng,+234 902 712 3425,https://web.facebook.com/PanAtlanticUniversity?_rdc=1&_rdr,,,https://twitter.com/PanAtlanticUni,"52, Lekki-Epe Expressway (Near Eleko Beach Junction)"
Aspen Network of Development Entrepreneurs (ANDE),Lagos,Development/Non Profit Organisation,Research and Development,Others,Randall Kempner,https://www.andeglobal.org,ande.info@aspeninst.org,(202)736-2298,https://www.facebook.com/AspenANDE/,,https://www.linkedin.com/company/aspenande/,https://twitter.com/aspenande,
Enhancing Financial Innovation & Access (EFInA),Lagos,Development/Non Profit Organisation,Research and Development,Others,Ashley Immanuel,https://www.efina.org.ng/contact-us/,info@efina.org.ng,+234 1 2931091,https://www.facebook.com/efinanigeria/,https://www.instagram.com/efina_nigeria/?hl=en,https://www.linkedin.com/company/efina/?originalSubdomain=ng,https://twitter.com/efina_nigeria?lang=en,"No 11b,  Ilabere Avenue, off Macpherson road"
FATE Foundation,Lagos,Development/Non Profit Organisation,Research and Development,Others,Fola Adeola,http://www.fatefoundation.org,info@fatefoundation.org,234701 130 5444,https://www.facebook.com/FateFoundation/,https://www.instagram.com/fatefoundation,https://www.instagram.com/fatefoundation,https://twitter.com/FATEFoundation,"st Floor, Lagos State Water Corporation, Water House,"
Global Entrepreneurship Monitor,Lagos,Development/Non Profit Organisation,Research and Development,Others,,https://www.gemconsortium.org,nfo@gemconsortium.org,,https://www.facebook.com/GEMonitor,,https://www.linkedin.com/company/global-entrepreneurship-monitor,https://twitter.com/gemnow,
TOMEB Foundation,Lagos,Development/Non Profit Organisation,Research and Development,Others,Tunde Popoola,https://www.tomebfoundation.com,info@tomebfoundation.com,+234 (0) 805 460 5216,,,,,"Block A6 , Suite 42, Sura Shopping Complex"
Dalberg Global Development Advisors,Lagos,For Profit/Corporates,Research and Development,Others,Henrik Skovby,http://www.dalberg.com/,communications@dalberg.com,+234 8064604005,https://www.facebook.com/dalberg.global/,,https://www.linkedin.com/company/dalberg-global-development-advisors,https://twitter.com/DalbergTweet,"7, Ibiyinka Olorunbe"
Enhancing Financial Innovation & Access (EFInA),Lagos,For Profit/Corporates,Research and Development,Others,Ashley Immanuel,https://www.efina.org.ng/contact-us/,info@efina.org.ng,+234 1 2931091,https://www.facebook.com/efinanigeria/,https://www.instagram.com/efina_nigeria/?hl=en,https://www.linkedin.com/company/efina/?originalSubdomain=ng,https://twitter.com/efina_nigeria?lang=en,"No 11b,  Ilabere Avenue, off Macpherson road"
Institute of Entrepreneurship and Development Studies,Lagos,For Profit/Corporates,Research and Development,Others,Olajide Oke,,,,,,,,
KPMG Group,Lagos,For Profit/Corporates,Research and Development,Others,William B. Thomas,https://home.kpmg/ng/en/home.html,helpdesk@ng.kpmg.com,+234 1 271 8955,https://www.facebook.com/kpmg.ng?ref=aymt_homepage_panel,https://www.instagram.com/kpmg_nigeria/,https://www.linkedin.com/company/kpmg_nigeria/?report%2Esuccess=KJ_KkFGTDCfMt-A7wV3Fn9Yvgwr02Kd6AZHGx4bQCDiP6-2rfP2oxyVoEQiPrcAQ7Bf,https://twitter.com/kpmg_ng,"KPMG Tower, Bishop Aboyade Cole Street"
