name,state,sector,ecosystem,website,email,phone,facebook,instagram,linkedin,twitter,address
"Federal Institute of Industrial Research, Oshodi (FIIRO)",Lagos,Government,Research and Development,https://www.fiiro.gov.ng/,info@fiiro.gov.ng,8023415016,https://www.facebook.com/fiiro_official-106121917949125?_rdc=1&_rdr,https://www.instagram.com/fiiro_official/,https://www.linkedin.com/company/federal-institute-of-industrial-research-oshodi?originalSubdomain=ng,https://twitter.com/FiiroOfficial,"3, FIIRO Road, Near Cappa Bus Stop, Off Agege Motor Road"
National Bureau of Statistics (NBS) ,Abuja,Government,Research and Development,www.nigerianstat.gov.ng,feedback@nigerianstat.gov.ng,234 8037 051701,https://www.facebook.com/NBSNigeria,,,https://twitter.com/nigerianstat,"Plot 762, Independence Avenue"
"Doing Business Unit, World Bank",,Government,Research and Development,https://www.doingbusiness.org,,,https://www.facebook.com/DoingBusiness.org/,,,https://twitter.com/WB_Research,
Small and Medium Enterprise Development Agency of Nigeria (SMEDAN),Abuja,Government,Research and Development,https://smedan.gov.ng, info@smedan.gov.ng,0807 132 0380,https://www.facebook.com/smedaninfo,,,https://twitter.com/smedaninfo,"No 35, Port Harcourt Crescent , Off Gimbiya Street"
"Centre for Entrepreneurship and Innovation (CEI), University of Ibadan",Oyo,Academia,Research and Development,https://cei.ui.edu.ng, uientrep@gmail.com,+234 - 802 335 1506,,,,,"15,, Awolowo Avenue"
Institute of Entrepreneurship and Development Studies,,Academia,Research and Development,https://ifeds.oauife.edu.ng,,,,,,,
"Enterprise Development Center, (EDC) Pan Atlantic University",Lagos,Academia,Research and Development,https://www.pau.edu.ng/units/edc/,info@pau.edu.ng,+234 902 712 3425,https://web.facebook.com/PanAtlanticUniversity?_rdc=1&_rdr,,,https://twitter.com/PanAtlanticUni,"52, Lekki-Epe Expressway (Near Eleko Beach Junction)"
Aspen Network of Development Entrepreneurs (ANDE),,Development/Non Profit Organisation,Research and Development,https://www.andeglobal.org,ande.info@aspeninst.org,(202)736-2298,https://www.facebook.com/AspenANDE/,,https://www.linkedin.com/company/aspenande/,https://twitter.com/aspenande,
Enhancing Financial Innovation & Access (EFInA) ,Lagos,Development/Non Profit Organisation,Research and Development,https://www.efina.org.ng/contact-us/,info@efina.org.ng,+234 1 2931091,https://www.facebook.com/efinanigeria/,https://www.instagram.com/efina_nigeria/?hl=en,https://www.linkedin.com/company/efina/?originalSubdomain=ng,https://twitter.com/efina_nigeria?lang=en,"No 11b,  Ilabere Avenue, off Macpherson road"
FATE Foundation,Lagos,Development/Non Profit Organisation,Research and Development,http://www.fatefoundation.org,info@fatefoundation.org,234701 130 5444,https://www.facebook.com/FateFoundation/,https://www.instagram.com/fatefoundation,https://www.instagram.com/fatefoundation,https://twitter.com/FATEFoundation,"st Floor, Lagos State Water Corporation, Water House,"
Global Entrepreneurship Monitor,,Development/Non Profit Organisation,Research and Development,https://www.gemconsortium.org,nfo@gemconsortium.org,,https://www.facebook.com/GEMonitor,,https://www.linkedin.com/company/global-entrepreneurship-monitor,https://twitter.com/gemnow,
TOMEB Foundation,Lagos,Development/Non Profit Organisation,Research and Development,https://www.tomebfoundation.com,info@tomebfoundation.com,+234 (0) 805 460 5216,,,,,"Block A6 , Suite 42, Sura Shopping Complex"
Dalberg Global Development Advisors,Lagos,For Profit/Corporates,Research and Development,http://www.dalberg.com/,communications@dalberg.com,+234 8064604005,https://www.facebook.com/dalberg.global/,,https://www.linkedin.com/company/dalberg-global-development-advisors,https://twitter.com/DalbergTweet,"7, Ibiyinka Olorunbe"
Enhancing Financial Innovation & Access (EFInA) ,Lagos,For Profit/Corporates,Research and Development,https://www.efina.org.ng/contact-us/,info@efina.org.ng,+234 1 2931091,https://www.facebook.com/efinanigeria/,https://www.instagram.com/efina_nigeria/?hl=en,https://www.linkedin.com/company/efina/?originalSubdomain=ng,https://twitter.com/efina_nigeria?lang=en,"No 11b,  Ilabere Avenue, off Macpherson road"
Global Entrepreneurship Monitor,,For Profit/Corporates,Research and Development,,,,,,,,
Institute of Entrepreneurship and Development Studies,,For Profit/Corporates,Research and Development,,,,,,,,
KPMG Group,Lagos,For-Profit/Corporates,Research and Development,https://home.kpmg/ng/en/home.html,helpdesk@ng.kpmg.com,+234 1 271 8955,https://www.facebook.com/kpmg.ng?ref=aymt_homepage_panel,https://www.instagram.com/kpmg_nigeria/,https://www.linkedin.com/company/kpmg_nigeria/?report%2Esuccess=KJ_KkFGTDCfMt-A7wV3Fn9Yvgwr02Kd6AZHGx4bQCDiP6-2rfP2oxyVoEQiPrcAQ7Bf,https://twitter.com/kpmg_ng,"KPMG Tower, Bishop Aboyade Cole Street"
