name,state,sector,ecosystem,sub_ecosystem,sub_ecosystem_sub_class,ceo_gender,ceo_name,website,email,phone,facebook,instagram,linkedin,twitter,address
Entrepreneurship Development Centre - Southsouth,,Development Sector,Business support,Business Advisory,Mentoring,,,https://ssedc.ng/,info@ssedc.org,7012823985,https://www.facebook.com/SSEDC/,https://www.instagram.com/southsouthedc/,https://www.linkedin.com/company/cbn-south-south-entrepreneurship-development-centre/,,
StartPreneurs,Abuja,Technology,Business support,Business Advisory,Mentoring,Female,Jennifer Chizua,http://www.startpreneurs.com.ng/,info@startpreneurs.com.ng,+234 814 042 4240,https://web.facebook.com/startpreneurs/?_rdc=1&_rdr,https://www.instagram.com/startpreneurs/,,https://twitter.com/startpreneurs?lang=en,"50, Ebitu Ukiwe Street"
Co- Creation Hub (CCHub),Lagos,Technology,Business support,Business Advisory,Mentoring,Male,Bosun Tijani,https://cchubnigeria.com,info@cchubnigeria.com,+234 (01) 2950555,https://www.facebook.com/CcHUBNigeria/,https://www.instagram.com/cchubnigeria/,https://www.linkedin.com/company/co-creation-hub/,https://twitter.com/Cc_HUB,"294 , Herbert Macaulay Way, Sabo"
Delta State Innovation Hub,Delta,Technology,Business support,Business Advisory,Mentoring,Male,Chris Uwaje,https://deltastateihub.com,support@deltastateihub.com,+234 904-222-3339 ,https://web.facebook.com/pages/Delta%20State%20Innovation%20Hub/382444678762184/?_rdc=1&_rdr,,,,"1, DBS Junction, Okpanam Rd, beside Zenith Bank"
Founders Hub,Kwara,Technology,Business support,Business Advisory,Mentoring,Male,Adeyinka Adekeye,http://foundershub.xyz,contact@foundershub.xyz,+234 908 217 1728 ,,,,https://twitter.com/foundershubng/,"2, Onikanga Street"
Hebron StartUp Labs,Ogun,Technology,Business support,Business Advisory,Mentoring,,,http://startup.covenantuniversity.edu.ng/,startup@covenantuniversity.edu.ng,0817 758 3008,https://www.facebook.com/hebronstartup/,https://www.instagram.com/hebronstartup/,https://www.linkedin.com/company/hebron-startup-lab/?originalSubdomain=ng,https://twitter.com/hebronstartup?lang=en,"3rd floor, CUCRID Building, Covenant University"
Passion Incubator,Lagos,Technology,Business support,Business Advisory,Mentoring,Male,Olufunbi Falayi,http://www.passionincubator.ng/,nfo@passionincubator.ng,23433579178,https://web.facebook.com/passionincubator/?_rdc=1&_rdr,https://www.instagram.com/p_incubator/?hl=en,https://www.linkedin.com/company/passion-incubator/?originalSubdomain=ng,https://twitter.com/p_incubator?lang=en,"70 , Olonode Street"
Office for ICT Innovation & Entrepreneurship (OIIE),Abuja,Development Sector,Business support,Business Advisory,Mentoring,Female,Dr Amina Sambo-Magaji,http://ictinnovation.gov.ng/,info@ictinnovation.gov.ng,+234 909 788 8885,,,,,"5, Donau crescent off, Amazon Street"
Small and Medium Enterprise Development Agency of Nigeria (SMEDAN),Abuja,Public Sector,Business support,Resources,,Male,Dr. Dikko Umaru Radda,https://smedan.gov.ng, info@smedan.gov.ng,0807 132 0380,https://www.facebook.com/smedaninfo,,,https://twitter.com/smedaninfo,"No 35, Port Harcourt Crescent , Off Gimbiya Street"
Cherie Blair Foundation,,Development Sector,Business support,Mentoring,,Female,Cherie Blair,http://www.cherieblairfoundation.org/,enquiries@cherieblairfoundation.org,+44 20 7258 3139,https://www.facebook.com/cherieblairfndn,https://www.instagram.com/cherieblairfndn/,https://www.linkedin.com/company/cherie-blair-foundation-for-women/,https://twitter.com/CherieBlairFndn,
FATE Foundation,Lagos,Development Sector,Business support,Mentoring,,Male,Fola Adeola,http://www.fatefoundation.org,info@fatefoundation.org,234701 130 5444,https://www.facebook.com/FateFoundation/,https://www.instagram.com/fatefoundation,https://www.instagram.com/fatefoundation,https://twitter.com/FATEFoundation,"st Floor, Lagos State Water Corporation, Water House,"
Generation Enterprise,,Development Sector,Business support,Mentoring,,Male,Bunmi Otegbade,http://www.generationenterprise.org/,sayhello@generationenterprise.com,,,,,,
Growing Business Foundation,Lagos,Development Sector,Business support,Business Advisory,,Female,Ndidi Edozien,https://gbfng.org,info@gbfng.org,(+3) 1800 555 2626,https://web.facebook.com/growingbusinessesfoundation/?_rdc=1&_rdr,,,,"160, Bamgbose Street (Behind City Hall)"
Private Sector Health Alliance of Nigeria (PHN),Lagos,Development Sector,Business support,Resources,,Male,Muntaqa Umar-sadiq,http://www.pshan.org/,communications@pshan.org,(01)4549079,https://web.facebook.com/Private-Sector-Health-Alliance-699885250056642/?_rdc=1&_rdr,https://www.instagram.com/phn_alliance/,,https://twitter.com/phn_alliance,"6th Floor Zenon House, 2, Ajose Adeogun"
She Leads Africa,,Development Sector,Business support,Mentoring,,,,http://www.sheleadsafrica.org/,info@sheleadsafrica.org,,https://www.facebook.com/sheleadsafrica/,https://www.instagram.com/sheleadsafrica/,,https://twitter.com/SheLeadsAfrica,
Women in Management Business and Public Service (WIMBIZ),Lagos,Development Sector,Business support,Mentoring,,Female,Hansatu Adegbite,https://wimbiz.org,wimbiz@wimbiz.org,+234 803 494 6249,https://web.facebook.com/wimbizng/,https://www.instagram.com/wimbizng/,,https://twitter.com/wimbiz,"200B , sale Eko Avenue. Dolphin Estate"
"Enterprise Development Center, (EDC) Pan Atlantic University",Lagos,Private Sector,Business support,Resources,,Male,Mr. Peter Bamkole,https://www.pau.edu.ng/units/edc/,info@pau.edu.ng,+234 902 712 3425,https://web.facebook.com/PanAtlanticUniversity?_rdc=1&_rdr,,,https://twitter.com/PanAtlanticUni,"52, Lekki-Epe Expressway (Near Eleko Beach Junction)"
Kaduna Business School (KBS),Kaduna,Private Sector,Business support,Resources,,Male,Dahiru Sani,,, 0816 353 0245,,,,,"17,  Gobarau Road"
Blue Hub,,Technology,Business support,Incubators,,Female,Maryam Gwadabe,https://t.co/4lzd5Li6Be?amp=1,,,,,,https://twitter.com/bluehubng_?lang=en,
Co- Creation Hub (CCHub),Lagos,Technology,Business support,Incubators,,Male,Bosun Tijani,https://cchubnigeria.com,info@cchubnigeria.com,+234 (01) 2950555,https://www.facebook.com/CcHUBNigeria/,https://www.instagram.com/cchubnigeria/,https://www.linkedin.com/company/co-creation-hub/,https://twitter.com/Cc_HUB,"294 , Herbert Macaulay Way, Sabo"
CoLab,Kaduna,Technology,Business support,Incubators,,Male,Sanusi Ismaila,https://colab.com.ng,hi@colab.com.ng,2.35E+12,https://web.facebook.com/CoLabkd/?_rdc=1&_rdr,https://www.instagram.com/CoLabkd/,,https://twitter.com/CoLab_kd/,"4,  Barnawa Close"
Delta State Innovation Hub,Delta,Technology,Business support,Incubators,,Male,Chris Uwaje,https://deltastateihub.com,support@deltastateihub.com,+234 904-222-3339 ,https://web.facebook.com/pages/Delta%20State%20Innovation%20Hub/382444678762184/?_rdc=1&_rdr,,,,"1, DBS Junction, Okpanam Rd, beside Zenith Bank"
Enspire Hub,Abuja,Technology,Business support,Incubators,,Male,Bankole Oloruntoba,http://www.enspire.org.ng/,info@enspire.org.ng,0909 000 0952,https://web.facebook.com/enspireincubator/?_rdc=1&_rdr,https://www.instagram.com/enspireatv/,,https://twitter.com/enspireatv,"No 22, Aguiyi Ironsi Way, Maitama "
Founders Hub,Kwara,Technology,Business support,Incubators,,Male,Adeyinka Adekeye,http://foundershub.xyz,contact@foundershub.xyz,+234 908 217 1728 ,,,,https://twitter.com/foundershubng/,"2, Onikanga Street"
Hebron StartUp Labs,Ogun,Technology,Business support,Incubators,,,,http://startup.covenantuniversity.edu.ng/,startup@covenantuniversity.edu.ng,0817 758 3008,https://www.facebook.com/hebronstartup/,https://www.instagram.com/hebronstartup/,https://www.linkedin.com/company/hebron-startup-lab/?originalSubdomain=ng,https://twitter.com/hebronstartup?lang=en,"3rd floor, CUCRID Building, Covenant University"
Ideation Hub,,Technology,Business support,Incubators,,Female,Debola Deji-Kurunmi,,,,,,,,
Leadpath Nigeria,Lagos,Technology,Business support,Incubators,,Male,Olumide Soyombo,http://leadpath.com.ng/,,,https://www.facebook.com/leadpathng/,,,https://twitter.com/leadpathng?lang=en,"70, Olonode Street, Off Hughes Avenue"
NHub,Jos,Technology,Business support,Incubators,,Male,Daser David,http://nhubnigeria.com,info@nhubnigeria.com,(+234) 806-889-7177,https://web.facebook.com/nHubNigeria/?_rdc=1&_rdr,https://www.instagram.com/nhub_ng/?hl=en,https://www.linkedin.com/company/nhub/?originalSubdomain=ng,https://twitter.com/nhubng?lang=en,"3rd Floor, TAEN Business Complex, Opposite former NITEL Office"
OlotuSquare,Rivers,Technology,Business support,Incubators,,Male,Bruce Lucas,https://olotusquare.co,hello@olotusquare.co,+234 (0) 9067719044,https://web.facebook.com/olotusquare?_rdc=1&_rdr,https://www.instagram.com/olotusquare/,https://www.linkedin.com/company/olotusquare/,https://twitter.com/olotusquare,"1, Khana Street, D/Line"
Passion Incubator,Lagos,Technology,Business support,Incubators,,Male,Olufunbi Falayi,http://www.passionincubator.ng/,nfo@passionincubator.ng,23433579178,https://web.facebook.com/passionincubator/?_rdc=1&_rdr,https://www.instagram.com/p_incubator/?hl=en,https://www.linkedin.com/company/passion-incubator/?originalSubdomain=ng,https://twitter.com/p_incubator?lang=en,"70 , Olonode Street"
ROAR Nigeria Hub,Enugu,Technology,Business support,Incubators,,Male,Charles Emembolu,http://www.roarnigeria.org/,info@roarnigeria.org,0809 941 3182,https://web.facebook.com/roarnigeria/?_rdc=1&_rdr,https://www.instagram.com/roar_nigeria/,https://www.linkedin.com/in/roar-nigeria-hub-047098142/,https://twitter.com/roar_nigeria,"Beside CEC, directly behind Faculty of Art Theater Building, University of Nigeria Nsukka"
Root Hub,Akwa Ibom,Technology,Business support,Incubators,,Male,Tony Onuk,http://theroothub.com/,info@theroothub.com,0809 242 7901,https://web.facebook.com/theroothub/?_rdc=1&_rdr,https://www.instagram.com/theroothub/,,https://twitter.com/theroothub/,"Akees Plaza, Opp Ibom Hall"
SPARK,Lagos,Technology,Business support,Incubators,,Male,Chinedu Amah,http://www.thesparkng.com/,contribute@thesparkng.com,,https://web.facebook.com/thesparkng/?_rdc=1&_rdr,https://www.instagram.com/thesparkng/?hl=en,,https://twitter.com/thesparkng?lang=en,"21, Military Street, Off King George V Street"
Start Innovation Hub,Akwa Ibom,Technology,Business support,Incubators,,Male,Hanson Johnson,http://www.starthub.com.ng/,email@starthub.com.ng,0909 000 9216,https://web.facebook.com/starthubtech/?_rdc=1&_rdr,https://www.instagram.com/starthubtech/?hl=en,https://www.linkedin.com/showcase/start-innovation-hub/,,"264, Oron road"
StartPreneurs,Abuja,Technology,Business support,Incubators,,Female,Jennifer Chizua,http://www.startpreneurs.com.ng/,info@startpreneurs.com.ng,+234 814 042 4240,https://web.facebook.com/startpreneurs/?_rdc=1&_rdr,https://www.instagram.com/startpreneurs/,,https://twitter.com/startpreneurs?lang=en,"50, Ebitu Ukiwe Street"
StoneBricks Hub,Abuja,Technology,Business support,Incubators,,Female,Omotola Agbi,http://www.stonebrickshub.com/,info@stonebricksgroup.com,0909 320 9133,https://web.facebook.com/StoneBricksHub/?_rdc=1&_rdr,https://www.instagram.com/stonebricks_hub/,,https://twitter.com/Stonebricks_hub,"10, Danube Close, Off Danube Street, Off IBB Boulevard,"
Technology Development for Poverty Alleviation Initiative (TD4PAI),Abuja,Technology,Business support,Incubators,,,,http://www.td4pai.org,td4pai@gmail.com, (+234) 8038198759,https://web.facebook.com/td4pai?_rdc=1&_rdr,,,https://twitter.com/td4pai,"32, Pasali New Extension, Off Lanto Road"
Technology Incubation Center,,Technology,Business support,Incubators,,Female,Rosaline G. Agiamoh,,,,,,,,
The Tangent Eco- Innovation Hub,Abuja,Technology,Business support,Incubators,,Male,Dami Lawal,http://www.tangenthub.ng/,info@tangenthub.com.ng,0809 456 2884,https://web.facebook.com/TangentHubNG/?_rdc=1&_rdr,https://www.instagram.com/TangentHubNG/?fbclid=IwAR1Dnr6I86z9BJ9YLSY5KMDAz1gl6wGl7OTDBLPV7807d_Bg7VCSx08E2UI,,https://twitter.com/Tangent_Hub?fbclid=IwAR1T6l__smSFfCZ2fpshNWd9PuQc2vnievU6OqAET8wR-Vi9i_x2C84ifDQ,
We Hub,,Technology,Business support,Incubators,,Male,,,,,,,,,
Wennovation Hub,Oyo,Technology,Business support,Incubators,,,Wole Odetayo,http://www.wennovationhub.org/,enquiries@wennovationhub.org,0909 000 2648,https://web.facebook.com/wennovationhub?_rdc=1&_rdr,,,https://twitter.com/wennovation,"3rd Floor Alpha and Omega Building, Queen Elizabeth II Road, Mokola"
Nigerian Association of Small and Medium Enterprises (NASME),Lagos,Private Sector,Business support,Resources,,Male,Prince Degun Agboade,https://nasmeonline.com,nasmenigeria2@gmail.com,7038711178,https://web.facebook.com/nasmengr/?_rdc=1&_rdr,,,https://twitter.com/nasmeng," 23A, Fatai Atere Way, Matori, Industrial Estate"
NECA’s Network of Entrepreneurial Women (NNEW),Lagos,Private Sector,Business support,Resources,,Female,Funmilayo Arowoogun,https://www.nnew.org,"info@nnew.org ,",234 909 000 0189,https://www.facebook.com/NNEWabuja/,https://www.instagram.com/nnewabuja/?hl=en,https://www.linkedin.com/in/nnewomen/?originalSubdomain=ng,https://twitter.com/Neca_NNEW,"Plot A2 , NECA House, Hakeem Balogun Street"
Lagos State Chambers of Commerce & Industry,Lagos,Public Sector,Business support,Resources,,Male,Muda Yusuf,https://www.lagoschamber.com,lcci@lagoschamber.com,(+234)1-277-1557,https://www.facebook.com/lagoschamber/,https://www.instagram.com/lagoschamber88/,,https://twitter.com/lagoschamber88,"No 1, Idowu Taylor Street"
"Federal Institute of Industrial Research, Oshodi (FIIRO)",Lagos,Public Sector,Research and Development,Research Organizations/Centres,,Female,MRS AGNES YEMISI ASAGBRA,https://www.fiiro.gov.ng/,info@fiiro.gov.ng,8023415016,https://www.facebook.com/fiiro_official-106121917949125?_rdc=1&_rdr,https://www.instagram.com/fiiro_official/,https://www.linkedin.com/company/federal-institute-of-industrial-research-oshodi?originalSubdomain=ng,https://twitter.com/FiiroOfficial,"3, FIIRO Road, Near Cappa Bus Stop, Off Agege Motor Road"
National Bureau of Statistics (NBS),Abuja,Public Sector,Research and Development,Research Organizations/Centres,,Male,Dr. Yemi Kale,www.nigerianstat.gov.ng,feedback@nigerianstat.gov.ng,234 8037 051701,https://www.facebook.com/NBSNigeria,,,https://twitter.com/nigerianstat,"Plot 762, Independence Avenue"
"Doing Business Unit, World Bank",,Public Sector,Research and Development,Research Organizations/Centres,,,,https://www.doingbusiness.org,,,https://www.facebook.com/DoingBusiness.org/,,,https://twitter.com/WB_Research,
Small and Medium Enterprise Development Agency of Nigeria (SMEDAN),Abuja,Public Sector,Research and Development,Research Organizations/Centres,,Male,Dr. Dikko Umaru Radda,https://smedan.gov.ng, info@smedan.gov.ng,0807 132 0380,https://www.facebook.com/smedaninfo,,,https://twitter.com/smedaninfo,"No 35, Port Harcourt Crescent , Off Gimbiya Street"
"Centre for Entrepreneurship and Innovation (CEI), University of Ibadan",Oyo,Development Sector,Research and Development,Research Organizations/Centres,,Female,Professor Oyedunni Arulogun,https://cei.ui.edu.ng, uientrep@gmail.com,+234 - 802 335 1506,,,,,"15,, Awolowo Avenue"
Institute of Entrepreneurship and Development Studies,,Development Sector,Research and Development,Research Organizations/Centres,,,,https://ifeds.oauife.edu.ng,,,,,,,
"Enterprise Development Center, (EDC) Pan Atlantic University",Lagos,Development Sector,Research and Development,Research Organizations/Centres,,Male,Mr. Peter Bamkole,https://www.pau.edu.ng/units/edc/,info@pau.edu.ng,+234 902 712 3425,https://web.facebook.com/PanAtlanticUniversity?_rdc=1&_rdr,,,https://twitter.com/PanAtlanticUni,"52, Lekki-Epe Expressway (Near Eleko Beach Junction)"
Aspen Network of Development Entrepreneurs (ANDE),,Development Sector,Research and Development,Research Organizations/Centres,,Male,Randall Kempner,https://www.andeglobal.org,ande.info@aspeninst.org,(202)736-2298,https://www.facebook.com/AspenANDE/,,https://www.linkedin.com/company/aspenande/,https://twitter.com/aspenande,
Enhancing Financial Innovation & Access (EFInA),Lagos,Development Sector,Research and Development,Research Organizations/Centres,,Female,Ashley Immanuel,https://www.efina.org.ng/contact-us/,info@efina.org.ng,+234 1 2931091,https://www.facebook.com/efinanigeria/,https://www.instagram.com/efina_nigeria/?hl=en,https://www.linkedin.com/company/efina/?originalSubdomain=ng,https://twitter.com/efina_nigeria?lang=en,"No 11b,  Ilabere Avenue, off Macpherson road"
FATE Foundation,Lagos,Development Sector,Research and Development,Research Organizations/Centres,,Male,Fola Adeola,http://www.fatefoundation.org,info@fatefoundation.org,234701 130 5444,https://www.facebook.com/FateFoundation/,https://www.instagram.com/fatefoundation,https://www.instagram.com/fatefoundation,https://twitter.com/FATEFoundation,"st Floor, Lagos State Water Corporation, Water House,"
Global Entrepreneurship Monitor,,Development Sector,Research and Development,Others,,,,https://www.gemconsortium.org,nfo@gemconsortium.org,,https://www.facebook.com/GEMonitor,,https://www.linkedin.com/company/global-entrepreneurship-monitor,https://twitter.com/gemnow,
TOMEB Foundation,Lagos,Development Sector,Research and Development,Others,,Male,Tunde Popoola,https://www.tomebfoundation.com,info@tomebfoundation.com,+234 (0) 805 460 5216,,,,,"Block A6 , Suite 42, Sura Shopping Complex"
Dalberg Global Development Advisors,Lagos,Private Sector,Research and Development,Others,,Male,Henrik Skovby,http://www.dalberg.com/,communications@dalberg.com,+234 8064604005,https://www.facebook.com/dalberg.global/,,https://www.linkedin.com/company/dalberg-global-development-advisors,https://twitter.com/DalbergTweet,"7, Ibiyinka Olorunbe"
Enhancing Financial Innovation & Access (EFInA),Lagos,Private Sector,Research and Development,Others,,Female,Ashley Immanuel,https://www.efina.org.ng/contact-us/,info@efina.org.ng,+234 1 2931091,https://www.facebook.com/efinanigeria/,https://www.instagram.com/efina_nigeria/?hl=en,https://www.linkedin.com/company/efina/?originalSubdomain=ng,https://twitter.com/efina_nigeria?lang=en,"No 11b,  Ilabere Avenue, off Macpherson road"
Institute of Entrepreneurship and Development Studies,,Private Sector,Research and Development,Others,,Male,Olajide Oke,,,,,,,,
KPMG Group,Lagos,Private Sector,Research and Development,Others,,Male,William B. Thomas,https://home.kpmg/ng/en/home.html,helpdesk@ng.kpmg.com,+234 1 271 8955,https://www.facebook.com/kpmg.ng?ref=aymt_homepage_panel,https://www.instagram.com/kpmg_nigeria/,https://www.linkedin.com/company/kpmg_nigeria/?report%2Esuccess=KJ_KkFGTDCfMt-A7wV3Fn9Yvgwr02Kd6AZHGx4bQCDiP6-2rfP2oxyVoEQiPrcAQ7Bf,https://twitter.com/kpmg_ng,"KPMG Tower, Bishop Aboyade Cole Street"
Àdìreworld,Lagos,Agribusiness,MSMEs and Startups,Others,,,,www.adireworld.com,adireworld@gmail.com,8108947111,,,,,"66, Thomas Animashaun, Aguda"
Ecotutu Limited,Lagos,Health,MSMEs and Startups,Others,,,,www.ecotutu.com,info@ecotutu.com,8028117382,Facebook.com/ecotutu,Instagram.com/ecotutultd,LinkedIn.com/company/ecotutu,Twitter.com/ecotutu,"324, Thomas Animashaun, Ojodu"
eVet Africa,Lagos,Technology,MSMEs and Startups,Others,,,,https://evetafrica.com,info@evetafrica.com,8103393894,,@evetafrica,,,"2, opp Jossy filling station Meiran, Alimosho"
Chekkit Technologies,Lagos,Agribusiness,MSMEs and Startups,Others,,,,www.chekkitapp.com,hello@chekkitapp.com,8147114822,https://facebook.com/Chekkitapp/,https://www.instagram.com/chekkitapp,https://linkedin.com/company/chekkit-app,https://twitter.com/Chekkitapp,"Road 1, Montgomery road, Yaba"
Machi Earth Foods,Lagos,Agribusiness,MSMEs and Startups,Others,,,,Machifoods.com,Nkechi@machifoods.com,9023033003,Machi Earth Foods,Instagram.com/machi.ng,,,"30, Lekki Gardens, Ajah"
Farmignite,Lagos,Health,MSMEs and Startups,Others,,,,www.farmignite.com,Info@farmignite.com,7041282481,www.facebook.com/farmignite,www.instagram.com/farmignite,,www.twitter.com/farmignite,"No. 2, Muyibat Oyefusi Crescent, Omole"
VoiceIT,Lagos,Agribusiness,MSMEs and Startups,Others,,,,Nill,Kemiobalisa@yahoo.com,7037352036,Nil,Voiceit_ap,Nil,@voiceIT_App,"162 Ak Street, Onitiri estate, Ojodu Berger"
Feed Afrique,Lagos,Agribusiness,MSMEs and Startups,Others,,,,www.feedafrique.com,fkoyeleke@gmail.com,2349058025285,,,,,"267, Ojodu Abiodun street, Ikorodu"
OFADA HUB_EXCLUSIVE,Lagos,Agribusiness,MSMEs and Startups,Others,,,,NIL,OFADAHUB@GMAIL.COM,9076749176,,,,,"19, AGEGE MOTOR ROAD, OLORUNSOGO BUS-STOP, MUSHIN"
Mainlotz Edge (Farmplify),Lagos,Manufacturing,MSMEs and Startups,Others,,,,www.farmplify.com,contact@farmplify.com,8162373022,http://www.facebook.com/mainlotzedge,http://instagram.com/mainlotzedge,https://www.linkedin.com/company/mainlotzedge,http://www.twitter.com/mainlotz,"No. 64, Yesufu Sanusi street, Adeniran Ogunsanya road, Surulere"
Keenah footwears,Kaduna,Creatives,MSMEs and Startups,Others,,,,Www.keenahfootwears. Com,Kinah3130@gmail.com,8065677241,,,,,"26 Usman Jibril Street, Ali Akilu, Barnawa , Kaduna south"
D.D Gazelle studios,Kaduna,Agribusiness,MSMEs and Startups,Others,,,,None yet,Nil,9023630379,,,,,"No 5, Narayi Highcost, Chikun"
Farmnovation Enterprise,Kaduna,Technology,MSMEs and Startups,Others,,,,https://wa.me/message/GCFKDKXKHFQAC1,Abuthbrand@gmail.com,7039037480,,,,,"A08, NDA Road, Kurmin Mashi"
De Able Brothers Prints,Kaduna,Technology,MSMEs and Startups,Others,,,,ablebrothersprints@gmail.com,ablebrothersprints@gmail.com,8037900580,@olawale ibrahim,@haftaj,,@ibrahim05390014,"No 2, Keffi Road by Lagos Street, Kaduna North"
Kantiok Utility,Kaduna,Education,MSMEs and Startups,Others,,,,www.kantiokutility.com,andykthomson@gmail.com,8067152111,https://www.facebook.com/andykanthomson,https://www.instagram.com/andrewkantiok/,https://www.linkedin.com/in/andrew-kantiok-628782180,https://twitter.com/andykanthomson/status/281692198959980544?s=20,"3, Yakowa Road, Gbagyi Villa Kaduna"
No Box Educational Services and Consultancy,Kaduna,Manufacturing,MSMEs and Startups,Others,,,,Nbeconsults.com,Nbeconsults@gmail.com,7030309798,,,,,"Shop 14&15 opposite hostel 1&2, Kawo Road"
iyby's Spot,Kaduna,Manufacturing,MSMEs and Startups,Others,,,,https://iybysspot.business.site/,iybysspot@gmail.com,8032845298,https://www.facebook.com/iybys/,@iybysspot,https://www.linkedin.com/in/mohammed-aminu-ibrahim-7143169b,@iybysspot,"CA 22, Ahmadu Bello University, Kongo Campus"
HBCLASSIC,Kaduna,Creatives,MSMEs and Startups,Others,,,,www.hbclassic.com,hbclassic0001@gmail.com,8161367726,Hbclassic0001@gmail.com,hb_classic_,,,"SF13, MUSAWA ROAD TUDUN WADA KADUNA"
Jagaban Signature,Kaduna,Creatives,MSMEs and Startups,Others,,,,https://www.facebook.com/Jagaban-Signature-111905053922510/,jagabansignature@gmail.com,8099775767,https://www.facebook.com/Jagaban-Signature-111905053922510/,@jagabansignature,,@jagabansignatu2,"B10 S&S shopping plaza Barnawa Kaduna, Shaba Ward"
701 Stitches,Kaduna,Agribusiness,MSMEs and Startups,Others,,,,@701stitches,Phumypeter@gmail.com,80893988846,701 Stitches,@701stitches,,,"15, Endwell Plaza Gombe Road by Abeokuta"
Primaxx Agro Enterprise Limited,Lagos,Agribusiness,MSMEs and Startups,Others,,,,www.,primaxxfeeds@gmail.com,9131400537,https://m.facebook.com/primaxxfeeds/?ref=bookmarks,https://www.instagram.com/primaxxfeeds/,,,"No 14B, Olurotimi Oniyo street, Ogba"
Bibi Pure and Natural Honey,Kaduna,Manufacturing,MSMEs and Startups,Others,,,,Nil,jbeatrice44@ymail.com,"07063162573, 07019200333",https://www.facebook.com/blekwot,,,,"No 4, mat estate abeokuta Ogun State"
Phunmite Creations,Ogun,Creatives,MSMEs and Startups,Others,,,,No 4 mat estate abeokuta Ogun State,anufunmi@yahoo.com,2348167332740,www.facebook.com/ phunmitecreations,www.instagram.com/phunmitecreations,,,"Suite 202, Fmc Abeokuta Ogun State, Abeokuta"
GerryBlinqz Consultancy,Edo,Technology,MSMEs and Startups,Others,,,,Nil,igwegerald@gmail.com,7069611075,https://www.facebook.com/pg/gerryblinqzconsultancy/posts/,,,,"2, Ku plaza Sapele road, opposite PZ road, Benin"
GraceMax Media,Edo,Technology,MSMEs and Startups,Others,,,,www.gracemaxmedia.com,info@gracemaxmedia.com,2347016812133,www.facebook.com/gracemaxmedia,www.instagram.com/gracemaxmedia,www.linkedIn.com/gracemaxmedia,www.twitter.com/gracemaxmedia,"08 Unity line Ova Market, Lucky Street, Ugbowo,"
Silvabest enterprise,Edo,Agribusiness,MSMEs and Startups,Others,,,,Www.silvabestenterprise.com,Peebest2funny@yahoocom,8034863281,,,,,"Industrial Development Center, Upper owina Evbuotubu, Oba Market, Benin City"
GLOPH Concept,Edo,Creatives,MSMEs and Startups,Others,,,,www.glophconcept.com,glophconcept@gmail.com,8063786315,www.facebook.com/glophchips,www.instagram.com/glophchips,,,"7, Off Agho, Off Ekenwa Road, Benin City"
Qordinates Mobile Car Wash Services,Edo,Creatives,MSMEs and Startups,Others,,,,www.qordinatesmobile.com,qordinates@gmail.com,8150508001,https://www.facebook.com/QordinatesMobile/,http://Instagram.com/qordinatesmobile,https://www.linkedin.com/in/osagie-samuel-ehizojie-qordinates-78712718a,https://twitter.com/Qordinatez,"4, Onyeobi Close, Omonkhalen, Federal government girls college road, Ugbowo"
PRICELESS LOOK,Edo,Creatives,MSMEs and Startups,Others,,,,https://www.facebook.com/pricelesslook9/,pricelesslook1@outlook.com,9936535670,https://www.facebook.com/pricelesslook9/,https://www.instagram.com/priceless_look/,,https://www.twitter.com/lookpriceless,"200 uselu market road, Ojomoh Street, Benin"
House of M and G,Edo,Technology,MSMEs and Startups,Others,,,,www.houseofmandg,m. ighama@yahoo.com,8169531633,house of m and g,,,,"5, Uselu Lagos road,  Dewosco Complex, Benin City"
Jamekofe Technologies Solution Limited,Ogun,Creatives,MSMEs and Startups,Others,,,,http://www.jamekofe.com.ng,Info@jamekofe.com.ng,8038218379,fb.com/jamekofe.tech,Jamekofe.technologies,,@jamekofe,"31,Bariga Road Gbagada Lagos, Surulere Street, Oke-Ilewo, Abeokuta"
Leyklean Services,Lagos,Creatives,MSMEs and Startups,Others,,,,www.leykleanservicesnig.com,leykleanservicesnig@gmail.com,8029485873,Leyklean Services,Leyklean_services,,Leyklean Services,"No 4, The Apostolic Church Street, 17, Redemption way off Mallot str Idomogun Ogijo, Bariga"
Timi bracelets and accessories,Ogun,Technology,MSMEs and Startups,Others,,,,Https://timi-bracelets.business.site/,timibracelets@gmail.com,8103500549,Facebook.com/ Timi Bracelets,Instagram.com/timibracelets,,,"A228, Apostolic church Street, Abeokuta"
Okadibia Ventures,Ogun,Agribusiness,MSMEs and Startups,Others,,,,www.facebook.com/okadibiaventures,okadibiaventures@outlook.com,8022799862,www.facebook.com/okadibiaventures,,,,"No 3, Itoku overhead Bridge, Abeokuta"
Yemdex-Prime ent.,Ogun,Creatives,MSMEs and Startups,Others,,,,None,eseyi79@gmail.com,8100408284,Yemdex-prime,Yemdex-prime,,,"No 4, alafiaa quarters iwesi, ijebu-ode"
EMPRESS 'TIANA BEADWORKS,Lagos,Creatives,MSMEs and Startups,Others,,,,www.facebook.com/empresstianabeadworks,empressotiana@gmail.com,8062480234,www.facebook.com/empresstianabeadworks,www.instagram.com/empresstianafashion,,,"Plot 208, Mike Okoruwa Avenue, Sheikh Avenue, Iba New Site"
Trinkles Clothier,Oyo,Technology,MSMEs and Startups,Others,,,,Not yet,trinklesclothier@gmail.com,7064248633,,,,,"96, Zone E, Aba Opa, Odo Ona Kekere"
